"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tbl3",810.982485435632,0.547475721862109,0.145333805286948,3.76702255047386,0.000165206083409277,0.00101627905156069
"Col16a1",331.003039505278,-0.192374654042231,0.476372354512273,-0.403832531883994,0.686335872172292,0.791578891383441
"Slco4c1",1462.18039035557,-1.28908574164913,0.539405280228938,-2.38982781388793,0.016856273411685,0.0479606242798035
"Apobec2",12.8119377215669,0.470899592282537,1.18420436136643,0.397650614746239,0.690887745398354,0.79474987155752
"Dnajc16",653.086882883024,-0.312501252330738,0.189923072110522,-1.64540963274269,0.0998853644071228,0.197088756039889
"Limd2",5005.41921334142,-0.884641784257923,0.209103656109913,-4.23063757332355,2.3302987136608e-05,0.000187643105699221
"Ap1g2",1324.79408360286,0.136168200200075,0.133211499513466,1.02219553640195,0.306688362972772,0.451995218490358
"Cyp2s1",1462.31327489469,-0.508994653822397,0.500212057385024,-1.01755774637518,0.308888176215197,0.454186724360047
"Agmat",0.293432893089624,-0.893004224182815,6.21177360434002,-0.143759943787857,0.885690034458535,NA
"St8sia4",1921.29791859842,-1.24125770727006,0.243796478491248,-5.09136848469541,3.55488404664127e-07,4.84093308321416e-06
"Sh3pxd2b",2892.88475513164,4.2515215492257,0.319381298935241,13.3117423073909,1.97814281987922e-40,1.19523785050036e-37
"Camta2",4212.03884089649,-0.339139947347604,0.126929662403027,-2.67187307463852,0.00754291731474056,0.0248546057508943
"Creg1",5472.91991360821,-0.77489416657554,0.242161475071582,-3.19990686522902,0.00137472002503023,0.00603530206898363
"Klc3",84.5697454360886,-0.417999440360053,0.330829347876561,-1.26348959982842,0.206413281885015,0.338995655748948
"Il17rd",161.112243489291,-0.0455436345666124,0.407916692436704,-0.11164935245615,0.911101439021493,0.956333523614198
"Virma",1722.63230849553,0.0537241656449594,0.115726250185542,0.464234912639303,0.6424794503883,0.75580521263886
"Zfhx2",332.278874948284,0.672620410174888,0.297487694391763,2.26100246448887,0.0237591044524425,0.0632516367554091
"Scamp5",361.639186837831,3.12970740005108,0.410918892370117,7.61636288368102,2.60923482330573e-14,1.55923285375127e-12
"Rcsd1",5090.1391407113,-1.67291530719532,0.286756477726954,-5.83392333612164,5.41390039345635e-09,1.15756711689183e-07
"Kcna2",31.0808293367467,-0.094559313950466,0.890818555915296,-0.106148792391632,0.915464299060751,0.959334457817923
"Hnrnpul1",5407.59367459333,-0.140990302365766,0.0623148653478589,-2.26254685103978,0.0236636376268471,0.0630077663202845
"Hesx1",1.10057025062163,3.23616466591712,2.8246954825855,1.14566851041762,0.251932337962733,NA
"Esrp1",385.569832282376,-0.953486782412321,0.475095491229935,-2.0069371316152,0.0447563575118123,0.104458509604637
"Cep126",181.494453806305,-1.21936457144455,0.671628405224771,-1.81553454552964,0.0694418021026623,0.148612561918252
"Eif4h",6809.02235615015,-0.318122249691037,0.165957908195401,-1.91688514967587,0.0552525240949812,0.123931192847055
"Erg",385.047818448259,-3.66553703883204,0.474211574217599,-7.72975025942755,1.0775777259057e-14,7.11724818640713e-13
"Ppp1r13l",285.186678567315,0.846499631528531,0.240461171820883,3.52031733488798,0.000431030769521364,0.00226104050610017
