"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glrx5",517.093018250582,0.651543278601829,0.134682116816237,4.83763764636107,1.31391391701139e-06,8.20094273521205e-06
"Mnat1",267.367762244141,0.378820141847735,0.251488054138322,1.5063146563589,0.131986417460891,0.209364028519204
"Prkch",2029.04187986705,-0.0384939549164644,0.168854693242287,-0.227970891287162,0.819668870092997,0.874981542974076
"Hif1a",6716.97885277292,-0.411269057280171,0.245819427682886,-1.67305351394244,0.0943167616855904,0.158502867568182
"Papola",2951.45466704856,0.3491171925014,0.10433292227668,3.34618435756621,0.000819319017673297,0.00263317641933291
"Mpp5",1044.32481235601,-0.160700044186862,0.152214189897454,-1.05574942976818,0.29108270769117,0.396663321868105
"Snapc1",793.675182366861,-1.24184584258689,0.18093818751865,-6.86337063290683,6.72544313555338e-12,1.14501035692335e-10
"Atp6v1d",2361.83432512983,-0.684213462745872,0.160143387234619,-4.2725052502072,1.93289001114016e-05,9.23826849666959e-05
"Vrk1",1723.83609692384,-1.1285094989137,0.184714698294094,-6.10947320021571,9.99605390610784e-10,1.15468090538477e-08
"Eif2s1",884.946919371728,0.979679469228478,0.148265234717122,6.60761419288634,3.90562903671955e-11,5.82453017317651e-10
"Plek2",100.436962164978,2.95954799806013,0.989498508838087,2.9909575119374,0.00278104185007025,0.00774499342030433
"Pigh",93.02717641495,0.390481113835782,0.356211719795863,1.09620512783678,0.272989016074614,0.377470170063713
"Rdh12",7752.99796417528,-2.39307690012284,0.345564018156888,-6.9251333309719,4.35565091554186e-12,7.64881664707906e-11
"Vti1b",1302.79815529543,-0.636831216084521,0.142110497713063,-4.48123978406125,7.42106762454385e-06,3.87387661669993e-05
"Arg2",4298.7626620367,-0.909258118304557,0.392508665316623,-2.31653005054319,0.020529345630336,0.0439043709436948
"Zfp36l1",3786.43086001712,0.736208768069279,0.167039149275685,4.40740252366961,1.04617657127409e-05,5.27782234746377e-05
"Galnt16",30.1352437620247,-1.94375733292084,0.993074225299085,-1.95731324346419,0.0503106514048355,0.093563204522391
"Erh",123.913841482215,0.358736421894007,0.295173085255675,1.21534258986816,0.224235454442064,0.322675252506677
"Susd6",6251.72118261084,-0.206014829546875,0.148599895172634,-1.38637264385375,0.165633145244846,0.25243105090509
"Srsf5",13408.8328705988,-0.512850454419823,0.188601540004131,-2.71922728949398,0.00654346276135037,0.0163916941011612
"Slc10a1",33.7501304111908,-0.192662795712018,0.727753851947068,-0.26473620881093,0.791212681772606,0.852465393866267
"Smoc1",79.6920034319958,-1.24116085746622,0.774136179439099,-1.60328491347028,0.108871765719714,0.178716188050983
"Gm20498",2.39121665277052,-0.903356398689351,1.72861377687026,-0.522590072332366,0.6012595506177,NA
"Pcnx",2893.11030065269,-0.659843745931634,0.20196287076937,-3.26715372691021,0.00108634673073001,0.00339163265173379
"Pacs2",2477.04990815422,1.01023120529203,0.112922547233957,8.94623111183449,3.6782649315188e-19,1.67115123879963e-17
"Mta1",1057.1532132357,-0.0492154148878681,0.142182950125085,-0.346141466642596,0.729236401466921,0.803018087685937
"Wdr37",1317.36617690056,-0.288205701618132,0.137775956961614,-2.0918432212264,0.0364525425905425,0.0713126534168968
"Gtpbp4",1143.281290323,0.937717968429693,0.1798369628954,5.21426715249359,1.84545347818747e-07,1.37280306571118e-06
"Zmynd11",3482.62510083446,-1.44111493768623,0.143239009074105,-10.060911109352,8.22337389203176e-24,6.33118771224455e-22
"Esyt2",4071.66675431437,-1.17663951244733,0.121797789945025,-9.66059821757374,4.43267872562556e-22,2.81619251230902e-20
"Cdca7l",238.113829188041,0.401563826895291,0.390959377495823,1.0271241719981,0.304361997925428,0.41068653171601
"Efcab11",25.7483177226297,1.46243262254638,0.758937701671164,1.92694686181242,0.0539862525561812,0.0994403230642965
"Tdp1",306.305134608466,1.28765843427542,0.201461053137943,6.39159983638995,1.64159044058296e-10,2.18538475262956e-09
"Psmc1",1360.1878248869,0.497705021604002,0.132370524432105,3.75993842843226,0.000169955181395264,0.000653921597741651
"Nrde2",553.792422644389,-0.0912754269799067,0.196876726791281,-0.463617150018307,0.642922064906364,0.73152511301846
"Rps6ka5",653.052970780351,-0.936880674594627,0.190476438756141,-4.9186171303532,8.71577573989392e-07,5.67342186750529e-06
"Ccdc88c",5959.5434451176,-1.57040517212431,0.231442033709898,-6.78530665735828,1.15840189792579e-11,1.89181434301798e-10
"Dglucy",448.179289425337,-1.19823735155767,0.246202011259079,-4.86688693333523,1.13369844387121e-06,7.19682086891271e-06
"Fbln5",288.106708541801,-2.72379236022694,0.478561320580462,-5.69162663819793,1.25834774864634e-08,1.16440005705114e-07
"Tc2n",691.502430409264,-4.81941743462096,0.744600600844893,-6.47248663129254,9.64030529499718e-11,1.3416592293456e-09
"Trip11",2372.66398257139,-0.280852739959517,0.177043130690676,-1.58635208756115,0.112659462636399,0.183660659387116
"Atxn3",998.937215949682,0.521472921980433,0.182184876629334,2.86232826581649,0.00420541095025506,0.011131732130197
"Lgmn",8547.48227040012,0.94254032017321,0.17237522525309,5.46795700362002,4.55252273358512e-08,3.8171340023177e-07
"Golga5",1450.10506185118,0.519206260615621,0.09559037729544,5.4315745507617,5.58589705422286e-08,4.59242425357439e-07
"Pitrm1",906.096073225212,0.00139699032521805,0.158363533951861,0.008821414187705,0.992961621099965,1
"Chga",2.26826022251292,3.89980955400561,3.44807811197503,1.13100963126727,0.258051037701478,NA
"Pfkp",6255.09199896969,-0.162915983563026,0.174672079128311,-0.932696194927355,0.350976850071939,0.459723197265701
"Unc79",12.1125104505751,-2.71577636990448,1.6539332982644,-1.64201081915114,0.100587761932403,0.167232092176009
"Asb2",176.182600573802,0.618342467102349,0.746577015788682,0.828236677563845,0.407536476096972,0.516032373403514
"Otub2",109.483084095378,0.405571689417238,0.352433601312256,1.15077474993056,0.249824915196473,0.351662937909184
"Akr1c21",0.790951630208435,0.409938792475937,6.34335724256334,0.064624894484152,0.9484726632053,NA
"Ifi27l2b",18.9702594553282,0.917376038399002,1.39900540201231,0.655734450402739,0.511994998719392,0.614605216438701
"Ppp4r4",30.0341818881633,-2.23747288926618,1.33037915575551,-1.68183098749435,0.0926016180432062,0.156090453882363
"Akr1c6",0.45964847816449,0,6.34335724256334,0,1,NA
"Akr1c12",34.8082270578336,0.632800328172292,0.879085289484125,0.719839514711524,0.471623812463774,0.578027647819662
"Akr1c13",151.328854101075,1.62001001034585,0.57178481368899,2.83325120143365,0.00460771610245485,0.0120646666050037
"Akr1c18",22.3021346111072,1.206277431342,1.19620523725772,1.00842012204141,0.313252816949314,0.419702381148806
"Net1",2196.89119204505,-0.452646616541084,0.235916351019707,-1.91867420204068,0.0550255783646588,0.101104486745974
"Tubal3",0.321942485760062,-0.551838550585931,6.34335724256334,-0.0869947142316288,0.930675713611801,NA
"Tshz3",65.6298438721292,-2.73546941216791,0.544513037054382,-5.02369865552863,5.06857448356271e-07,3.47899651311382e-06
"Gdi2",8562.85680224105,0.213583630768754,0.117257533981188,1.82149174997166,0.0685321396304618,0.121589090291685
"Rgs6",23.1464732275177,-2.45236445571797,0.934196629937327,-2.62510522638311,0.00866221925661633,0.0208890332914144
"Dpf3",10.2141637747956,-2.43300772745909,1.66271231418508,-1.463276422928,0.143391756439606,0.223994978650136
"Dcaf4",255.810659032816,0.210361434236108,0.268945532283398,0.782171142424636,0.43411400139549,0.542281572354265
"Papln",18.4890429132811,-0.0447134669374205,0.980912936731519,-0.0455835225156775,0.963642202647337,0.979618479180857
"Numb",2072.19002333948,-0.349679400177204,0.174240788406297,-2.0068745290673,0.0447630245727276,0.0848001589148071
"Acot2",236.377597918754,0.0820273742543237,0.265931425407337,0.30845310639267,0.757737577415902,0.826483397127024
"Fam161b",76.5643144125086,-1.60770934714697,0.560078263762653,-2.87050837564421,0.00409812339863016,0.0108816803596994
"Coq6",313.277377118859,0.750831695614811,0.181809122120291,4.1297801059621,3.63110364210462e-05,0.000163593308799231
"Entpd5",847.313900302142,0.0608516529834147,0.244760540697628,0.248617088399839,0.803656988833098,0.862484040271406
"Aldh6a1",803.318742658276,-0.870780308284082,0.282246093325237,-3.08518108443991,0.00203428256175074,0.00589319780493091
"Vsx2",0.191181151988772,0,6.34335724256334,0,1,NA
"Abcd4",572.693194431094,0.293986752814742,0.19551664466977,1.50364053818175,0.132673947273019,0.210151122117159
"Isca2",436.883534445531,0.449701086594959,0.198971002774228,2.26013378997358,0.023812948569559,0.049768998822364
"Npc2",29290.0796345058,-0.266479567742135,0.240887039405703,-1.10624286138254,0.268621415706498,0.372617742617987
"Fcf1",421.194228627928,0.196425791923296,0.151629960194878,1.2954286321176,0.195172406187719,0.288585575809637
"Ylpm1",1740.15313903347,0.0903892376203655,0.126837300634112,0.712639240731809,0.476069023078745,0.582242958110784
"Mlh3",220.402646023727,0.201737890378923,0.323198733719368,0.624191462810899,0.532501852837226,0.633610312751656
"Tmed10",3859.61772879843,-1.00259552947986,0.130843663418454,-7.6625455393544,1.82283464626334e-14,4.43065049555984e-13
"Fos",63275.8597166046,-1.38410823366898,0.278805893550666,-4.96441526411799,6.89083630773975e-07,4.6004647865726e-06
